inserttime,avgfxrate,return,predicted1,error1
2022-12-07 15:57:41,4.463532859999998,-8.669435812012814e-05,-1.71624568876841e-05,6.953190123244404e-05
2022-12-07 16:06:01,4.463489726666665,-9.663496312537613e-06,-1.7162290043066834e-05,-7.498793730529221e-06
2022-12-07 16:13:16,4.463690321666661,4.4941293086870456e-05,-1.7163061928603865e-05,-6.210435501547432e-05
2022-12-07 16:21:24,4.463511516666668,-4.005766240659279e-05,-1.7162374382104134e-05,2.289528802448866e-05
2022-12-07 16:28:46,4.46389158666667,8.515044681365553e-05,-1.7163835647598232e-05,-0.00010231428246125376
2022-12-07 16:37:09,4.463921131666667,6.6186643253150166e-06,-1.7163949321952857e-05,-2.3782613647267874e-05
2022-12-07 16:44:56,4.463680681666661,-5.386519898396312e-05,-1.7163025259457213e-05,3.6702173724505906e-05
2022-12-07 16:53:03,4.464412061666669,0.0001638513263308,-1.7165837783005458e-05,-0.00018101716411380545
2022-12-07 17:00:10,4.4653861500000005,0.0002181896115045,-1.7169581702878674e-05,-0.00023535919320737868
2022-12-07 17:07:29,4.466180428333336,0.0001778745010296,-1.7172636242794822e-05,-0.00019504713727239484
2022-12-07 17:15:29,4.465730996666662,-0.000100629984365,-1.7170909125987494e-05,8.34590752390125e-05
2022-12-07 17:22:38,4.467592603333336,0.0004168649361243,-1.7178066943414053e-05,-0.00043404300306771406
2022-12-07 17:30:02,4.468604655,0.0002265317714755,-1.718195753987388e-05,-0.00024371372901537387
2022-12-07 17:37:17,4.4718593966666695,0.0007283574891835,-1.719447271962636e-05,-0.0007455519619031264
2022-12-07 17:45:00,4.471493210000004,-8.18868918237288e-05,-1.7193064624394906e-05,6.46938271993339e-05
2022-12-07 17:52:08,4.472285550000005,0.0001771980774183,-1.7196111830481727e-05,-0.00019439418924878173
2022-12-07 17:59:14,4.472131766666674,-3.4385848490983464e-05,-1.719551962376329e-05,1.7190328867220175e-05
2022-12-07 18:06:23,4.468084176666665,-0.0009050694861405,-1.7179957237923986e-05,0.000887889528902576
2022-12-07 18:13:28,4.466609071666664,-0.000330142616315,-1.7174284520936852e-05,0.00031296833179406315
2022-12-07 18:20:51,4.4657417316666645,-0.0001941831008899,-1.717094946204881e-05,0.0001770121514278512
2022-12-07 18:28:03,4.465392279999997,-7.825165172217335e-05,-1.7169605537823996e-05,6.108204618434935e-05
2022-12-07 18:35:04,4.464827021666669,-0.0001265864895811,-1.716743289088484e-05,0.00010941905669021516
2022-12-07 18:42:19,4.465183103333329,7.975262309875622e-05,-1.7168802483512308e-05,-9.692142558226853e-05
2022-12-07 18:49:25,4.464504530000002,-0.0001519698784178,-1.7166193473727986e-05,0.000134803684944072
2022-12-07 18:56:12,4.464221816666665,-6.332468282583128e-05,-1.716510623352974e-05,4.615957659230154e-05
2022-12-07 19:03:20,4.464377219999995,3.481084491580826e-05,-1.7165703940620176e-05,-5.197654885642844e-05
2022-12-07 19:10:37,4.461538931666669,-0.0006357635552413,-1.7154789369119073e-05,0.000618608765872181
2022-12-07 19:18:00,4.462006903333341,0.0001048901900979,-1.7156589824219708e-05,-0.0001220467799221197
2022-12-07 19:24:58,4.462637143333334,0.0001412458594632,-1.7159011821356102e-05,-0.00015840487128455612
2022-12-07 19:32:13,4.463203391666668,0.0001268864832939,-1.716118996866726e-05,-0.00014404767326256726
2022-12-07 19:39:16,4.463928305833334,0.0001624201505177,-1.7163976823812845e-05,-0.00017958412734151284
2022-12-07 19:46:37,4.463390193333328,-0.000120546850921,-1.7161908683941647e-05,0.00010338494223705835
2022-12-07 19:54:24,4.463933945,0.0001218248109886,-1.7163998825300838e-05,-0.00013898880981390082
2022-12-07 20:01:21,4.465100523333332,0.0002613341388347,-1.716848346193643e-05,-0.0002785026222966364
2022-12-07 20:08:23,4.466682946666667,0.0003543981429009,-1.7174568706823406e-05,-0.0003715727116077234
2022-12-07 20:17:10,4.466241426666668,-9.884740091715378e-05,-1.71728709253334e-05,8.167452999182037e-05
2022-12-07 20:26:37,4.466686285000002,9.960463191218265e-05,-1.7174581541024736e-05,-0.00011677921345320738
2022-12-07 20:37:25,4.465994618333331,-0.0001548500661429,-1.7171923027892433e-05,0.00013767814311500755
2022-12-07 20:46:08,4.467803670000002,0.0004050725138013,-1.7178877331555072e-05,-0.00042225139113285506
2022-12-07 20:53:35,4.468764988333333,0.0002151657513031,-1.718257358153764e-05,-0.00023234832488463764
2022-12-07 21:02:06,4.4692265900000026,0.0001032951314009,-1.718434836823562e-05,-0.00012047947976913562
2022-12-07 21:10:05,4.471819400000004,0.0005801473583377,-1.7194318709210422e-05,-0.0005973416770469104
2022-12-07 21:17:32,4.471777483333334,-9.3735150999352e-06,-1.719415736496515e-05,-7.820642265029949e-06
2022-12-07 21:25:12,4.47222211333334,9.943026048657408e-05,-1.7195867980656486e-05,-0.00011662612846723058
2022-12-07 21:33:49,4.472394413333334,3.852670901138728e-05,-1.7196529858753566e-05,-5.572323887014084e-05
2022-12-07 21:41:52,4.472734771666665,7.610203883536668e-05,-1.7197838947289058e-05,-9.329987778265574e-05
2022-12-07 21:49:39,4.472702863333338,-7.133965002529997e-06,-1.719771610564777e-05,-1.0063751103117773e-05
2022-12-07 21:57:17,4.473599603333336,0.0002004917445666,-1.7201163005433102e-05,-0.00021769290757203309
2022-12-07 22:04:55,4.475954523333331,0.0005264038378043,-1.7210218451198926e-05,-0.000543614056255499
2022-12-07 22:12:46,4.474208658333336,-0.0003900542310905,-1.7203506163904194e-05,0.00037285072492659584
