inserttime,avgfxrate,stdfxrate,prev_avg,min_val,max_val,vol_val,fd,return
2022-12-06 01:17:38,0.6726584666666668,9.402633706803066e-05,0.6726584666666668,0.6722,0.6729,0.0007000000000000339,,0
2022-12-06 01:24:01,0.6721926000000003,0.0003010617887891035,0.6721926000000003,0.6717,0.672625,0.0009250000000000647,58378.3783783743,-0.000692575340611078
2022-12-06 01:30:23,0.6721231166666667,9.76018620063877e-05,0.6721231166666667,0.6717,0.6723,0.0006000000000000449,41666.66666666354,-0.00010336819139866199
2022-12-06 01:36:35,0.6723087833333334,0.0001207374347474145,0.6723087833333334,0.6718999999999999,0.6726,0.0007000000000000339,64285.71428571117,0.0002762390729656011
2022-12-06 01:42:59,0.6723804666666656,0.00012656029095406011,0.6723804666666656,0.6721,0.672625,0.0005249999999999977,55238.095238095484,0.000106622633987876
2022-12-06 01:49:05,0.6719486999999995,0.0002992719314657109,0.6719486999999995,0.6713,0.6724,0.0010999999999999899,75454.54545454615,-0.0006421463562238799
2022-12-06 01:55:21,0.671253466666667,0.00012770936206645274,0.671253466666667,0.6709,0.6715,0.0005999999999999339,63333.333333340306,-0.0010346523973222153
2022-12-06 02:01:49,0.67145815,0.00023296832754431376,0.67145815,0.671,0.67184,0.0008399999999999519,65476.19047619423,0.0003049270409722195
2022-12-06 02:08:12,0.671373383333333,0.00016445451452212894,0.671373383333333,0.6709700000000001,0.6717,0.0007299999999998974,46575.34246575997,-0.00012624266555855086
2022-12-06 02:14:33,0.6714063166666668,0.00023049535806429297,0.6714063166666668,0.67101,0.671915,0.0009050000000000447,53038.674033146555,4.9053677359625176e-05
2022-12-06 02:20:54,0.6718115500000007,0.00011404620095898608,0.6718115500000007,0.6715,0.6719999999999999,0.0004999999999999449,52000.000000005726,0.000603559012291884
2022-12-06 02:27:06,0.6721044833333341,0.00013898394937125765,0.6721044833333341,0.671755,0.6725,0.0007449999999999957,79194.63087248369,0.00043603497637597304
2022-12-06 02:33:21,0.6719011666666668,0.00020835308713484176,0.6719011666666668,0.6712,0.6723,0.0010999999999999899,52727.272727273215,-0.0003025075292742093
2022-12-06 02:39:45,0.6721189000000007,0.00019303020194487148,0.6721189000000007,0.6718,0.6724749999999999,0.0006749999999999812,34074.074074075026,0.00032405559647135984
2022-12-06 02:46:13,0.6724750499999995,0.00014297395803287063,0.6724750499999995,0.6718999999999999,0.6727000000000001,0.0008000000000001339,57499.999999990374,0.0005298913629698226
2022-12-06 02:52:43,0.6724256666666669,0.00011817404921801958,0.6724256666666669,0.672175,0.672715,0.0005399999999999849,48148.14814814949,-7.34351903949414e-05
2022-12-06 02:59:08,0.6728112833333328,0.00024135369982030078,0.6728112833333328,0.672345,0.6732750000000001,0.0009300000000000974,72043.01075268062,0.0005734710701593118
2022-12-06 03:05:41,0.6729523166666669,0.00012389396853905365,0.6729523166666669,0.672595,0.673235,0.0006399999999999739,42187.50000000172,0.00020961796692129362
2022-12-06 03:12:42,0.6728459666666669,0.00010975298605832324,0.6728459666666669,0.6723,0.673035,0.0007350000000000412,61224.48979591494,-0.00015803497122473108
2022-12-06 03:19:47,0.6727624833333337,0.00017185273033998487,0.6727624833333337,0.6722,0.6731,0.0009000000000000119,53333.33333333263,-0.0001240749554415446
2022-12-06 03:26:17,0.6719494666666666,0.00021249603314548184,0.6719494666666666,0.6714,0.6723650000000001,0.0009650000000001047,62176.16580310206,-0.0012084750365966598
2022-12-06 03:32:42,0.6713567999999995,0.00016853021919705164,0.6713567999999995,0.671045,0.6717,0.0006549999999999612,56488.54961832396,-0.0008820107702548748
2022-12-06 03:39:19,0.6712760166666656,0.00013891739703706052,0.6712760166666656,0.670865,0.671475,0.0006099999999999994,60655.73770491809,-0.00012032846518266408
2022-12-06 03:45:58,0.6716162500000001,0.00023200238040815604,0.6716162500000001,0.6712,0.672225,0.0010249999999999426,64390.24390244263,0.0005068456564619064
2022-12-06 03:52:40,0.6717585000000005,0.00014587671754741425,0.6717585000000005,0.6714,0.672265,0.0008650000000000047,38150.28901734084,0.00021180249882331385
2022-12-06 03:59:14,0.6718270500000002,0.00016797997422053135,0.6718270500000002,0.6715,0.672195,0.0006950000000000012,44604.316546762515,0.00010204560120895076
2022-12-06 04:06:13,0.671955866666667,0.0002118391725002082,0.671955866666667,0.6713,0.6723,0.0010000000000000009,56999.99999999995,0.00019174081583460113
2022-12-06 04:12:50,0.6723294166666675,0.00021031210217982793,0.6723294166666675,0.6717,0.672685,0.0009850000000000136,39593.90862944107,0.0005559144856544641
2022-12-06 04:19:16,0.6716794833333328,0.000178761953003686,0.6716794833333328,0.6714,0.672065,0.0006650000000000267,55639.09774435867,-0.0009666888242923007
2022-12-06 04:25:38,0.671830283333333,0.0001429725155039262,0.671830283333333,0.671565,0.6722,0.0006350000000000522,58267.716535428284,0.000224511844923035
2022-12-06 04:32:11,0.6719546999999997,0.0001339136021575504,0.6719546999999997,0.6715,0.6722600000000001,0.0007600000000000939,61842.10526315025,0.00018519061994263776
2022-12-06 04:38:36,0.6721171333333334,0.00020890609071545955,0.6721171333333334,0.6715,0.6725,0.0010000000000000009,50999.999999999956,0.00024173256520680178
2022-12-06 04:45:04,0.6724160666666668,0.00012561698789461648,0.6724160666666668,0.6718,0.67262,0.0008200000000000429,39024.390243900394,0.00044476374504955816
2022-12-06 04:51:36,0.672019283333333,0.00015203602500247273,0.672019283333333,0.6715,0.67233,0.0008299999999999974,53012.04819277125,-0.0005900860389916902
