inserttime,avgfxrate,stdfxrate,prev_avg,min_val,max_val,vol_val,fd,return
2022-12-06 01:17:37,82.26989000000029,0.004421507937510704,82.26989000000029,82.25550000000001,82.2755,0.01999999999998181,,0
2022-12-06 01:23:59,82.27456000000001,0.004121044774498562,82.27456000000001,82.26650000000001,82.28649999999999,0.01999999999998181,1950.0000000017735,5.676438852319068e-05
2022-12-06 01:30:22,82.27540499999999,0.0043746160844484365,82.27540499999999,82.2635,82.28550000000001,0.02200000000001978,1954.5454545436971,1.0270489443930145e-05
2022-12-06 01:36:23,82.26326166666668,0.00377976887273949,82.26326166666668,82.25550000000001,82.2755,0.01999999999998181,1800.000000001637,-0.00014759372297605788
2022-12-06 01:42:56,82.25267166666653,0.006592386702120364,82.25267166666653,82.24350000000001,82.26849999999999,0.024999999999977263,1960.0000000017826,-0.00012873304298413027
2022-12-06 01:49:03,82.2558049999999,0.008760820829428053,82.2558049999999,82.24350000000001,82.27449999999999,0.03099999999997749,1548.3870967753178,3.8094000716041184e-05
2022-12-06 01:55:11,82.27281500000016,0.007079217900798175,82.27281500000016,82.26249999999999,82.2945,0.03200000000001069,1531.2499999994886,0.0002067939156424171
2022-12-06 02:01:43,82.25754683333342,0.007842917366322573,82.25754683333342,82.24605,82.2775,0.03145000000000664,1208.2670906197768,-0.00018557972845274984
2022-12-06 02:08:08,82.25831133333324,0.008396680038829605,82.25831133333324,82.24754999999999,82.27950000000001,0.03195000000002324,1220.6572769944173,9.293980057133895e-06
2022-12-06 02:14:30,82.25806083333318,0.009986052529535343,82.25806083333318,82.24754999999999,82.27850000000001,0.030950000000018463,1227.786752826408,-3.045284980976396e-06
2022-12-06 02:20:55,82.23925166666658,0.009645565665747797,82.23925166666658,82.22405,82.2705,0.046449999999993,1270.1829924652077,-0.0002286604677529394
2022-12-06 02:27:06,82.2192091666666,0.015270521286891691,82.2192091666666,82.19265,82.2515,0.05884999999999252,849.6176720476866,-0.0002437096592416789
2022-12-06 02:33:20,82.21703783333324,0.012321640300892141,82.21703783333324,82.19649999999999,82.2425,0.04600000000002069,652.1739130431849,-2.640907587621701e-05
2022-12-06 02:39:35,82.23504599999985,0.009126165147585507,82.23504599999985,82.21255,82.24950000000001,0.03695000000001869,838.971583220144,0.0002190320539536303
2022-12-06 02:46:10,82.20206283333337,0.007802380027007102,82.20206283333337,82.19015,82.22649999999999,0.03634999999998456,1320.4951856951964,-0.0004010840665971428
2022-12-06 02:52:39,82.21561350000006,0.009461147947525353,82.21561350000006,82.19815,82.23750000000001,0.0393500000000131,1067.344345615909,0.00016484582259404813
2022-12-06 02:58:51,82.23031099999997,0.005556895953869785,82.23031099999997,82.2225,82.24455,0.02205000000000723,1315.192743763741,0.0001787677470765531
2022-12-06 03:05:39,82.22176383333351,0.0043731546864857005,82.22176383333351,82.20949999999999,82.2365,0.027000000000015234,1777.7777777767747,-0.00010394180153909759
2022-12-06 03:12:32,82.2240541666667,0.002611514438872647,82.2240541666667,82.21915,82.23249999999999,0.013349999999988427,1348.314606742742,2.7855560698443485e-05
2022-12-06 03:19:36,82.24343733333335,0.018007870061988427,82.24343733333335,82.22215,82.27345,0.05129999999999768,2046.7836257310867,0.00023573596392307902
2022-12-06 03:26:17,82.29752416666676,0.0137401423821271,82.29752416666676,82.26355000000001,82.33699999999999,0.07344999999997981,980.2586793739931,0.0006576431516863794
2022-12-06 03:32:42,82.33482500000004,0.010105639754588027,82.33482500000004,82.31,82.357,0.046999999999997044,680.8510638298301,0.0004532436875954569
2022-12-06 03:39:19,82.38884499999995,0.037159515249510215,82.38884499999995,82.3185,82.4725,0.15399999999999636,733.766233766251,0.0006561014734641009
2022-12-06 03:45:56,82.46518766666678,0.011579982781778995,82.46518766666678,82.4405,82.4975,0.05700000000000216,491.22807017542,0.0009266141146514721
2022-12-06 03:52:41,82.48095566666673,0.024259134773428673,82.48095566666673,82.4555,82.5461,0.0905999999999949,684.3267108168155,0.0001912079563037868
2022-12-06 03:59:12,82.54944233333335,0.011304388760109549,82.54944233333335,82.5266,82.59049999999999,0.06389999999998963,751.1737089203097,0.0008303330885664436
2022-12-06 04:06:14,82.52847699999984,0.01922549270019372,82.52847699999984,82.4966,82.5655,0.0688999999999993,624.092888243838,-0.00025397304622421597
2022-12-06 04:12:48,82.5331203333333,0.02296445311589251,82.5331203333333,82.49109999999999,82.5755,0.08440000000001646,568.7203791468085,5.62634075200722e-05
2022-12-06 04:19:16,82.57259499999995,0.014434611240772478,82.57259499999995,82.54499999999999,82.62549999999999,0.08050000000000068,534.1614906832253,0.00047828879493734934
2022-12-06 04:25:35,82.57901000000007,0.011374510904992178,82.57901000000007,82.5555,82.61250000000001,0.05700000000001637,473.68421052617975,7.768921395915615e-05
2022-12-06 04:32:09,82.57796166666658,0.01580586754081958,82.57796166666658,82.53999999999999,82.721,0.1810000000000116,696.1325966850383,-1.2694912829374965e-05
2022-12-06 04:38:38,82.56206166666665,0.009268768208480667,82.56206166666665,82.5435,82.5875,0.04400000000001114,204.54545454540275,-0.0001925453193445578
2022-12-06 04:45:03,82.5548539999999,0.007450960118599839,82.5548539999999,82.54599999999999,82.5755,0.02950000000001296,881.3559322030026,-8.729998405132145e-05
2022-12-06 04:51:37,82.58520433333322,0.01357609599616938,82.58520433333322,82.5505,82.63050000000001,0.0800000000000125,1312.499999999795,0.00036763838663341175
2022-12-06 04:58:06,82.5849116666667,0.01282098368421851,82.5849116666667,82.5695,82.6275,0.057999999999992724,482.7586206897157,-3.5438147654553115e-06
