inserttime,avgfxrate,return,predicted3,error3
2022-12-07 15:57:40,0.6727703833333328,0.0003342524366676,-3.399950530994602e-05,-0.00036825194197754604
2022-12-07 16:06:01,0.6728859666666658,0.0001718020534142,-3.117319945074542e-05,-0.00020297525286494541
2022-12-07 16:13:14,0.6728206833333324,-9.701990614655296e-05,-3.276928243982411e-05,6.425062370672886e-05
2022-12-07 16:21:24,0.6728041333333321,-2.459793583981995e-05,-3.317449802974579e-05,-8.576562189925842e-06
2022-12-07 16:28:37,0.6726397166666684,-0.0002443752327279,-3.719458650817614e-05,0.00020718064621972387
2022-12-07 16:37:09,0.6724092833333332,-0.0003425806232156,-4.282970690614775e-05,0.00029975091630945225
2022-12-07 16:44:55,0.6724935166666668,0.0001252709256422,-4.077010392571992e-05,-0.00016604102956791994
2022-12-07 16:53:01,0.6724378666666683,-8.275172714579981e-05,-4.213151169905359e-05,4.062021544674622e-05
2022-12-07 17:00:10,0.6724085166666682,-4.3647155306005466e-05,-4.284865583661258e-05,7.984994693928892e-07
2022-12-07 17:07:26,0.6724127166666687,6.24620286083601e-06,-4.2746623134114546e-05,-4.899282599495056e-05
2022-12-07 17:15:28,0.6721573499999995,-0.000379776676347,-4.89910245270039e-05,0.0003307856518199961
2022-12-07 17:22:39,0.672142466666668,-2.2142632720671923e-05,-4.935542703592546e-05,-2.7212794315253535e-05
2022-12-07 17:30:00,0.6724637833333343,0.0004780484534176,-4.149745133352781e-05,-0.0005195459047511278
2022-12-07 17:37:15,0.6726360000000003,0.0002560980545485,-3.7286415940425286e-05,-0.0002933844704889253
2022-12-07 17:44:58,0.6725659833333337,-0.0001040929517103,-3.899765012232365e-05,6.509530158797634e-05
2022-12-07 17:52:07,0.6723323666666655,-0.0003473512970584,-4.4711481462222764e-05,0.00030263981559617724
2022-12-07 17:59:11,0.6723018166666687,-4.543883577748423e-05,-4.545777780049548e-05,-1.8942023011251578e-08
2022-12-07 18:06:22,0.6723810833333341,0.0001179033950235,-4.351915645302825e-05,-0.00016142255147652825
2022-12-07 18:13:27,0.6725807166666666,0.0002969050413239,-3.8637620443507785e-05,-0.0003355426617674078
2022-12-07 18:20:50,0.6726642000000007,0.0001241238876841,-3.6595508783507286e-05,-0.00016071939646760728
2022-12-07 18:28:02,0.6725913499999998,-0.0001083006944637,-3.837816585715473e-05,6.992252860654527e-05
2022-12-07 18:35:02,0.6727558833333335,0.0002446260025997,-3.435370454861868e-05,-0.0002789797071483187
2022-12-07 18:42:17,0.6726539166666673,-0.0001515656260945,-3.684767531968191e-05,0.00011471795077481808
2022-12-07 18:49:23,0.6726569833333321,4.5590556879937805e-06,-3.6771879597827135e-05,-4.133093528582092e-05
2022-12-07 18:56:11,0.6727548166666654,0.0001454431244412,-3.437994152926194e-05,-0.00017982306597046194
2022-12-07 19:03:19,0.6725049500000009,-0.0003714082165959,-4.049024279886908e-05,0.00033091797379703093
2022-12-07 19:10:36,0.6723020666666667,-0.0003016830334619,-4.545194736035228e-05,0.0002562310861015477
2022-12-07 19:17:59,0.6720259333333328,-0.0004107280745141,-5.220505465569886e-05,0.00035852301985840113
2022-12-07 19:24:57,0.6712282500000001,-0.0011869829626605,-7.171224976331813e-05,0.0011152707128971818
2022-12-07 19:32:13,0.6712755833333334,7.051749286965819e-05,-7.055490739498282e-05,-0.000141072400264641
2022-12-07 19:39:16,0.6710617333333335,-0.0003185725882326,-7.578335459299752e-05,0.00024278923363960247
2022-12-07 19:46:35,0.6712945666666669,0.0003469626142691,-7.008992979359846e-05,-0.0004170525440626985
2022-12-07 19:54:24,0.6713601166666676,9.764714814576472e-05,-6.848655875434133e-05,-0.00016613370690010605
2022-12-07 20:01:21,0.6711015000000007,-0.0003852130328369,-7.481112869919343e-05,0.00031040190413770657
2022-12-07 20:08:23,0.6705992666666667,-0.0007483716447273,-8.709295085990561e-05,0.0006612786938673945
2022-12-07 20:17:09,0.6704112666666666,-0.000280346265415,-9.169025291246725e-05,0.00018865601250253275
2022-12-07 20:26:36,0.6702580666666669,-0.0002285164459742,-9.543776831422293e-05,0.00013307867765997709
2022-12-07 20:37:20,0.6704844166666669,0.0003377057453791,-8.990176539867889e-05,-0.0004276075107777789
2022-12-07 20:46:07,0.6706489833333328,0.0002454444317796,-8.587730409014284e-05,-0.00033132173586974283
2022-12-07 20:53:35,0.6709575999999996,0.0004601761492769,-7.8329799325345e-05,-0.000538505948602245
2022-12-07 21:02:03,0.6707866833333332,-0.0002547354209362,-8.251022490770083e-05,0.00017222519602849915
2022-12-07 21:10:04,0.6710472000000008,0.000388374833819,-7.613901144170541e-05,-0.0004645138452607054
2022-12-07 21:17:32,0.6711345166666668,0.0001301200074539,-7.40036127394228e-05,-0.00020412362019332282
2022-12-07 21:25:12,0.6708812166666676,-0.000377420611977,-8.019845539109837e-05,0.0002972221565859016
2022-12-07 21:33:49,0.6705934500000006,-0.0004289383269616,-8.723579664340378e-05,0.00034170253031819625
2022-12-07 21:41:51,0.6706156166666674,3.305529850726615e-05,-8.669356571012713e-05,-0.00011974886421739328
2022-12-07 21:49:35,0.67079645,0.0002696527322633,-8.227117686184784e-05,-0.00035192390912514786
2022-12-07 21:57:18,0.6708727833333341,0.0001137950764857,-8.040397840612968e-05,-0.00019419905489182968
2022-12-07 22:04:52,0.6708033166666664,-0.0001035467057145,-8.210355170774391e-05,2.1443154006756083e-05
2022-12-07 22:12:46,0.6714537999999991,0.0009697079861875,-6.619665338827418e-05,-0.001035904639575774
